iter	Passed	Remaining
0	113	113694
1	162	80954
2	222	73952
3	284	70724
4	337	67111
5	385	63787
6	438	62207
7	526	65266
8	571	62980
9	627	62112
10	680	61190
11	739	60864
12	787	59785
13	853	60114
14	905	59477
15	963	59279
16	1018	58919
17	1106	60372
18	1158	59797
19	1226	60091
20	1265	59013
21	1316	58513
22	1358	57692
23	1406	57195
24	1457	56839
25	1501	56236
26	1560	56234
27	1616	56100
28	1667	55831
29	1709	55287
30	1750	54708
31	1809	54729
32	1853	54302
33	1898	53952
34	1944	53621
35	1985	53175
36	2036	53008
37	2087	52834
38	2134	52602
39	2185	52461
40	2234	52267
41	2287	52186
42	2334	51966
43	2379	51693
44	2435	51692
45	2491	51666
46	2557	51866
47	2600	51585
48	2649	51419
49	2693	51174
50	2754	51258
51	2815	51326
52	2871	51300
53	2922	51197
54	2971	51050
55	3021	50934
56	3070	50795
57	3120	50684
58	3183	50773
59	3240	50760
60	3300	50804
61	3356	50783
62	3414	50780
63	3469	50735
64	3524	50700
65	3578	50641
66	3634	50608
67	3758	51517
68	3849	51935
69	3901	51830
70	3953	51732
71	3997	51517
72	4049	51419
73	4101	51318
74	4159	51303
75	4205	51127
76	4260	51064
77	4337	51266
78	4390	51179
79	4437	51026
80	4488	50920
81	4541	50837
82	4596	50783
83	4654	50751
84	4713	50743
85	4767	50669
86	4815	50531
87	4874	50522
88	4932	50486
89	5027	50831
90	5073	50679
91	5116	50493
92	5176	50487
93	5224	50351
94	5274	50241
95	5324	50142
96	5369	49982
97	5428	49960
98	5473	49816
99	5523	49713
100	5564	49533
101	5614	49433
102	5667	49356
103	5709	49193
104	5753	49041
105	5796	48884
106	5828	48644
107	5879	48559
108	5933	48505
109	5987	48445
110	6058	48520
111	6127	48584
112	6165	48398
113	6216	48313
114	6285	48369
115	6350	48391
116	6423	48478
117	6484	48472
118	6553	48517
119	6621	48556
120	6677	48506
121	6719	48361
122	6777	48324
123	6836	48298
124	6904	48328
125	6961	48289
126	7030	48326
127	7085	48268
128	7136	48183
129	7185	48090
130	7230	47964
131	7288	47929
132	7340	47853
133	7398	47817
134	7455	47767
135	7508	47698
136	7563	47641
137	7621	47608
138	7670	47514
139	7725	47454
140	7789	47452
141	7832	47325
142	7879	47222
143	7946	47235
144	8006	47212
145	8087	47308
146	8186	47504
147	8241	47443
148	8286	47327
149	8349	47315
150	8412	47297
151	8456	47179
152	8495	47031
153	8542	46926
154	8588	46818
155	8631	46697
156	8670	46556
157	8706	46397
158	8742	46240
159	8784	46118
160	8835	46043
161	8876	45917
162	8923	45821
163	8973	45745
164	9042	45759
165	9101	45726
166	9152	45654
167	9212	45621
168	9275	45608
169	9325	45529
170	9372	45437
171	9415	45326
172	9464	45244
173	9516	45175
174	9554	45041
175	9597	44932
176	9638	44817
177	9680	44704
178	9724	44601
179	9774	44528
180	9812	44400
181	9854	44289
182	9900	44202
183	9959	44166
184	10010	44102
185	10059	44023
186	10105	43933
187	10147	43829
188	10200	43770
189	10246	43682
190	10297	43615
191	10345	43537
192	10393	43458
193	10471	43504
194	10521	43435
195	10572	43368
196	10615	43268
197	10656	43163
198	10711	43114
199	10757	43028
200	10809	42967
201	10850	42863
202	10895	42775
203	10961	42771
204	11034	42793
205	11095	42766
206	11150	42715
207	11233	42775
208	11291	42735
209	11350	42700
210	11404	42644
211	11462	42604
212	11623	42948
213	11728	43078
214	11780	43011
215	11829	42938
216	11878	42862
217	11920	42761
218	11981	42729
219	12038	42681
220	12098	42645
221	12148	42574
222	12190	42474
223	12254	42452
224	12301	42371
225	12375	42381
226	12447	42386
227	12494	42306
228	12538	42214
229	12585	42135
230	12632	42054
231	12695	42027
232	12746	41958
233	12801	41907
234	12853	41840
235	12915	41809
236	12979	41784
237	13034	41732
238	13085	41666
239	13140	41611
240	13195	41557
241	13249	41501
242	13302	41441
243	13352	41369
244	13407	41318
245	13450	41226
246	13501	41159
247	13564	41131
248	13656	41188
249	13716	41149
250	13761	41065
251	13825	41038
252	13865	40938
253	13922	40889
254	13985	40858
255	14046	40821
256	14089	40733
257	14145	40682
258	14217	40676
259	14267	40607
260	14327	40568
261	14382	40512
262	14445	40481
263	14503	40433
264	14562	40391
265	14612	40322
266	14662	40253
267	14707	40170
268	14758	40104
269	14801	40020
270	14853	39955
271	14886	39844
272	14950	39812
